time,x,y,z
18485,-1.272,-1.137,2.578
18511,-1.111,-1.215,1.435
18530,-.592,1.269,.710
18543,.734,1.909,2.121
18563,.274,3.257,1.331
18583,.349,-2.243,-2.301
18610,2.883,-1.516,-4.378
18627,-.124,1.404,-2.238
18650,-.548,1.668,-.486
18668,-.322,.613,.214
18686,-.484,-.438,.173
18724,-.345,-.492,.376
18727,-.146,.051,.498
18742,-.074,-.017,.381
18763,.092,.038,.517
18783,.023,.235,.428
18803,.102,.426,.335
18826,.125,.448,-.182
18843,-.011,.272,-.224
18863,.030,.119,.339
18883,.085,.120,.275
18903,-.024,.119,.217
18926,.075,.042,.283
18943,.167,.130,-.123
18962,-.060,-.116,-.070
18982,.120,-.149,.212
19003,.100,-.046,.235
19023,.079,.013,.334
19043,.231,.047,-.058
19062,.016,-.104,-.209
19086,.111,-.007,.026
19107,.197,.151,.059
19131,.112,.146,-.003
19142,.161,.190,-.049
19162,.051,.244,-.159
19181,.110,.228,-.034
19206,.079,.350,-.028
19226,-.036,-.034,.106
19246,.008,-.039,.292
19261,.104,.104,.250
19280,-.032,.009,.103
19305,-.078,.004,.081
19332,.021,.096,.078
19346,.016,.151,.094
19364,.039,.097,.077
19380,.069,.142,-.032
19400,.068,.106,.030
19425,.033,-.012,.061
19440,.125,.016,.073
19469,.140,.065,.015
19480,.188,.039,-.042
19500,.156,.054,.094
19527,.131,-.007,.049
19545,.089,.114,-.004
19560,.141,.102,.029
19580,.089,-.005,.014
19599,.035,.073,.078
19622,.078,.049,.103
19643,.039,-.008,.090
19663,.050,.084,.147
19690,-.001,-.016,.147
19704,.014,.119,.068
19728,-.018,.082,.015
19742,.058,.033,-.124
19757,-.040,-.083,-.018
19779,.058,.016,.020
19797,.122,.046,.047
19826,.106,.075,-.001
19843,.087,.130,-.135
19861,.132,.122,.017
19877,.125,.079,.077
19897,.075,.152,.144
19921,.074,.200,.102
19940,.050,.097,-.156
19958,.123,.002,-.356
19979,.348,-.026,-.739
19997,.904,-.016,-1.801
20021,.945,-.460,-4.332
20040,-.035,-.571,-3.465
20058,1.470,.687,3.101
20077,.646,1.348,4.607
20095,-6.139,1.881,17.981
20120,-1.371,4.171,-10.611
20142,2.313,-2.287,.897
20163,.871,-2.432,-1.463
20181,-2.113,-.546,5.159
20201,-1.166,-.913,2.425
20226,-.758,-.974,-.447
20240,.739,1.968,.549
20257,.768,2.813,.608
20276,.326,1.256,-.586
20296,1.349,-3.215,-3.891
20325,.441,.550,-2.665
20341,-.638,.508,-.676
